#TE_family	subclass	superfamily	count	idn	sd	indels	tsd	length	frag	nest
ATCOPI1#LTR/Copia	LTR/Copia	LTR_retrotransposon	5	87	5	9	5,5	5133	98	7
ATCOPIA10#LTR/Copia	LTR/Copia	LTR_retrotransposon	5	82	4	8	5,5	5186	84	23
ATCOPIA11#LTR/Copia	LTR/Copia	LTR_retrotransposon	10	85	11	20	5,5	5062	97	13
ATCOPIA12#LTR/Copia	LTR/Copia	LTR_retrotransposon	10	86	8	9	5,5	5111	91	8
ATCOPIA13#LTR/Copia	LTR/Copia	LTR_retrotransposon	10	91	17	15	5,5	4912	86	17
ATCOPIA14#LTR/Copia	LTR/Copia	LTR_retrotransposon	7	93	3	16	5,5	4968	80	0
ATCOPIA15#LTR/Copia	LTR/Copia	LTR_retrotransposon	10	81	6	12	5,5	4838	90	5
ATCOPIA16#LTR/Copia	LTR/Copia	LTR_retrotransposon	5	94	10	18	5,5	5134	91	29
ATCOPIA17#LTR/Copia	LTR/Copia	LTR_retrotransposon	9	93	5	19	5,5	5444	82	9
ATCOPIA18A#LTR/Copia	LTR/Copia	LTR_retrotransposon	8	87	17	17	5,5	5256	82	13
ATCOPIA18#LTR/Copia	LTR/Copia	LTR_retrotransposon	7	89	15	19	5,5	2384	94	21
ATCOPIA19#LTR/Copia	LTR/Copia	LTR_retrotransposon	6	85	14	13	5,5	4950	85	26
ATCOPIA1#LTR/Copia	LTR/Copia	LTR_retrotransposon	6	86	8	6	5,5	5139	85	20
ATCOPIA20#LTR/Copia	LTR/Copia	LTR_retrotransposon	10	90	13	16	5,5	5565	89	12
ATCOPIA21#LTR/Copia	LTR/Copia	LTR_retrotransposon	7	81	12	8	5,5	4742	86	17
ATCOPIA22#LTR/Copia	LTR/Copia	LTR_retrotransposon	8	80	6	16	5,5	4872	86	9
ATCOPIA23#LTR/Copia	LTR/Copia	LTR_retrotransposon	7	82	17	7	5,5	4567	93	18
ATCOPIA24#LTR/Copia	LTR/Copia	LTR_retrotransposon	5	88	17	5	5,5	5099	87	17
ATCOPIA25#LTR/Copia	LTR/Copia	LTR_retrotransposon	8	87	4	13	5,5	4974	94	8
ATCOPIA26#LTR/Copia	LTR/Copia	LTR_retrotransposon	9	89	20	8	5,5	4875	98	20
ATCOPIA27#LTR/Copia	LTR/Copia	LTR_retrotransposon	8	82	8	9	5,5	6332	86	5
ATCOPIA28#LTR/Copia	LTR/Copia	LTR_retrotransposon	5	84	6	18	5,5	5070	88	5
ATCOPIA29#LTR/Copia	LTR/Copia	LTR_retrotransposon	9	90	6	8	5,5	3767	95	16
ATCOPIA2#LTR/Copia	LTR/Copia	LTR_retrotransposon	8	82	8	6	5,5	4828	90	13
ATCOPIA30#LTR/Copia	LTR/Copia	LTR_retrotransposon	6	90	16	12	5,5	4237	87	13
ATCOPIA31#LTR/Copia	LTR/Copia	LTR_retrotransposon	6	80	7	16	5,5	4626	88	22
