#TE_family	subclass	superfamily	count	idn	sd	indels	tsd	length	frag	nest
ATCOPI1#LTR/Copia	LTR/Copia	LTR_retrotransposon	406	91	11	20	5,5	5133	94	5
ATCOPIA10#LTR/Copia	LTR/Copia	LTR_retrotransposon	206	94	1	5	5,5	5186	80	13
ATCOPIA11#LTR/Copia	LTR/Copia	LTR_retrotransposon	481	88	1	11	5,5	5062	86	0
ATCOPIA12#LTR/Copia	LTR/Copia	LTR_retrotransposon	330	94	15	9	5,5	5111	98	27
ATCOPIA13#LTR/Copia	LTR/Copia	LTR_retrotransposon	46	88	14	12	5,5	4912	87	15
ATCOPIA14#LTR/Copia	LTR/Copia	LTR_retrotransposon	318	83	13	15	5,5	4968	92	8
ATCOPIA15#LTR/Copia	LTR/Copia	LTR_retrotransposon	193	82	1	19	5,5	4838	96	20
ATCOPIA16#LTR/Copia	LTR/Copia	LTR_retrotransposon	359	89	19	14	5,5	5134	81	3
ATCOPIA17#LTR/Copia	LTR/Copia	LTR_retrotransposon	268	92	2	10	5,5	5444	88	10
ATCOPIA18A#LTR/Copia	LTR/Copia	LTR_retrotransposon	191	85	20	7	5,5	5256	91	15
ATCOPIA18#LTR/Copia	LTR/Copia	LTR_retrotransposon	458	90	6	12	5,5	2384	93	19
ATCOPIA19#LTR/Copia	LTR/Copia	LTR_retrotransposon	364	87	20	11	5,5	4950	85	29
ATCOPIA1#LTR/Copia	LTR/Copia	LTR_retrotransposon	427	81	9	13	5,5	5139	98	5
ATCOPIA20#LTR/Copia	LTR/Copia	LTR_retrotransposon	375	91	7	19	5,5	5565	92	17
ATCOPIA21#LTR/Copia	LTR/Copia	LTR_retrotransposon	439	95	9	18	5,5	4742	80	6
ATCOPIA22#LTR/Copia	LTR/Copia	LTR_retrotransposon	438	88	6	19	5,5	4872	85	10
ATCOPIA23#LTR/Copia	LTR/Copia	LTR_retrotransposon	320	84	10	7	5,5	4567	88	26
ATCOPIA24#LTR/Copia	LTR/Copia	LTR_retrotransposon	350	85	4	20	5,5	5099	97	22
ATCOPIA25#LTR/Copia	LTR/Copia	LTR_retrotransposon	320	92	18	10	5,5	4974	92	3
ATCOPIA26#LTR/Copia	LTR/Copia	LTR_retrotransposon	405	83	10	9	5,5	4875	97	0
ATCOPIA27#LTR/Copia	LTR/Copia	LTR_retrotransposon	31	86	14	20	5,5	6332	98	11
ATCOPIA28#LTR/Copia	LTR/Copia	LTR_retrotransposon	220	95	4	9	5,5	5070	95	28
ATCOPIA29#LTR/Copia	LTR/Copia	LTR_retrotransposon	283	83	18	19	5,5	3767	80	8
ATCOPIA2#LTR/Copia	LTR/Copia	LTR_retrotransposon	400	86	15	7	5,5	4828	98	27
ATCOPIA30#LTR/Copia	LTR/Copia	LTR_retrotransposon	219	82	8	8	5,5	4237	89	10
ATCOPIA31#LTR/Copia	LTR/Copia	LTR_retrotransposon	401	90	12	16	5,5	4626	85	24
