#TE_family	subclass	superfamily	count	idn	sd	indels	tsd	length	frag	nest
ATCOPI1#LTR/Copia	LTR/Copia	LTR_retrotransposon	605	84	12	8	5,5	5133	96	4
ATCOPIA10#LTR/Copia	LTR/Copia	LTR_retrotransposon	768	81	13	13	5,5	5186	90	13
ATCOPIA11#LTR/Copia	LTR/Copia	LTR_retrotransposon	867	93	11	17	5,5	5062	88	26
ATCOPIA12#LTR/Copia	LTR/Copia	LTR_retrotransposon	141	87	10	10	5,5	5111	96	0
ATCOPIA13#LTR/Copia	LTR/Copia	LTR_retrotransposon	460	92	13	6	5,5	4912	98	1
ATCOPIA14#LTR/Copia	LTR/Copia	LTR_retrotransposon	729	88	10	16	5,5	4968	89	15
ATCOPIA15#LTR/Copia	LTR/Copia	LTR_retrotransposon	23	81	10	7	5,5	4838	97	12
ATCOPIA16#LTR/Copia	LTR/Copia	LTR_retrotransposon	527	86	7	20	5,5	5134	96	25
ATCOPIA17#LTR/Copia	LTR/Copia	LTR_retrotransposon	556	91	16	10	5,5	5444	88	18
ATCOPIA18A#LTR/Copia	LTR/Copia	LTR_retrotransposon	109	93	1	13	5,5	5256	90	19
ATCOPIA18#LTR/Copia	LTR/Copia	LTR_retrotransposon	797	85	10	16	5,5	2384	89	2
ATCOPIA19#LTR/Copia	LTR/Copia	LTR_retrotransposon	794	94	3	20	5,5	4950	82	17
ATCOPIA1#LTR/Copia	LTR/Copia	LTR_retrotransposon	974	80	6	15	5,5	5139	90	13
ATCOPIA20#LTR/Copia	LTR/Copia	LTR_retrotransposon	291	84	20	8	5,5	5565	87	20
ATCOPIA21#LTR/Copia	LTR/Copia	LTR_retrotransposon	376	83	18	7	5,5	4742	83	22
ATCOPIA22#LTR/Copia	LTR/Copia	LTR_retrotransposon	281	93	11	18	5,5	4872	97	17
ATCOPIA23#LTR/Copia	LTR/Copia	LTR_retrotransposon	754	81	16	10	5,5	4567	85	19
ATCOPIA24#LTR/Copia	LTR/Copia	LTR_retrotransposon	588	83	7	18	5,5	5099	93	13
ATCOPIA25#LTR/Copia	LTR/Copia	LTR_retrotransposon	339	89	20	8	5,5	4974	90	21
ATCOPIA26#LTR/Copia	LTR/Copia	LTR_retrotransposon	148	80	15	9	5,5	4875	85	21
ATCOPIA27#LTR/Copia	LTR/Copia	LTR_retrotransposon	821	84	1	5	5,5	6332	83	26
ATCOPIA28#LTR/Copia	LTR/Copia	LTR_retrotransposon	473	83	1	14	5,5	5070	84	2
ATCOPIA29#LTR/Copia	LTR/Copia	LTR_retrotransposon	973	94	16	18	5,5	3767	84	28
ATCOPIA2#LTR/Copia	LTR/Copia	LTR_retrotransposon	964	82	2	15	5,5	4828	96	28
ATCOPIA30#LTR/Copia	LTR/Copia	LTR_retrotransposon	235	87	4	9	5,5	4237	93	1
ATCOPIA31#LTR/Copia	LTR/Copia	LTR_retrotransposon	355	85	4	8	5,5	4626	96	26
ATCOPIA32#LTR/Copia	LTR/Copia	LTR_retrotransposon	441	93	14	19	5,5	5787	97	25
ATCOPIA33#LTR/Copia	LTR/Copia	LTR_retrotransposon	302	86	12	8	5,5	5047	80	26
ATCOPIA34#LTR/Copia	LTR/Copia	LTR_retrotransposon	596	84	12	10	5,5	4752	80	18
ATCOPIA35#LTR/Copia	LTR/Copia	LTR_retrotransposon	884	85	10	11	5,5	4710	87	21
ATCOPIA36#LTR/Copia	LTR/Copia	LTR_retrotransposon	275	87	19	12	5,5	4726	80	15
ATCOPIA37#LTR/Copia	LTR/Copia	LTR_retrotransposon	135	81	15	12	5,5	6028	87	28
ATCOPIA38B#LTR/Copia	LTR/Copia	LTR_retrotransposon	279	93	20	6	5,5	4803	93	14
ATCOPIA38#LTR/Copia	LTR/Copia	LTR_retrotransposon	783	80	11	7	5,5	4832	85	13
ATCOPIA39#LTR/Copia	LTR/Copia	LTR_retrotransposon	964	91	13	10	5,5	4012	80	20
ATCOPIA3#LTR/Copia	LTR/Copia	LTR_retrotransposon	989	84	18	7	5,5	4633	83	23
ATCOPIA41#LTR/Copia	LTR/Copia	LTR_retrotransposon	706	93	7	14	5,5	6478	80	21
ATCOPIA42#LTR/Copia	LTR/Copia	LTR_retrotransposon	973	93	5	6	5,5	7724	94	24
ATCOPIA43#LTR/Copia	LTR/Copia	LTR_retrotransposon	880	91	2	18	5,5	9103	92	8
ATCOPIA44#LTR/Copia	LTR/Copia	LTR_retrotransposon	804	91	3	18	5,5	5194	81	19
ATCOPIA45#LTR/Copia	LTR/Copia	LTR_retrotransposon	627	92	4	10	5,5	4817	95	1
ATCOPIA46#LTR/Copia	LTR/Copia	LTR_retrotransposon	164	89	15	9	5,5	5006	83	10
ATCOPIA47#LTR/Copia	LTR/Copia	LTR_retrotransposon	396	87	6	8	5,5	5063	87	0
ATCOPIA48#LTR/Copia	LTR/Copia	LTR_retrotransposon	949	90	12	8	5,5	5250	93	5
ATCOPIA49#LTR/Copia	LTR/Copia	LTR_retrotransposon	31	86	7	6	5,5	5220	91	20
ATCOPIA4#LTR/Copia	LTR/Copia	LTR_retrotransposon	723	84	14	18	5,5	4753	88	16
ATCOPIA50#LTR/Copia	LTR/Copia	LTR_retrotransposon	980	88	18	8	5,5	5652	98	26
ATCOPIA51#LTR/Copia	LTR/Copia	LTR_retrotransposon	268	80	10	6	5,5	4972	95	22
ATCOPIA52#LTR/Copia	LTR/Copia	LTR_retrotransposon	51	89	7	17	5,5	4937	95	27
ATCOPIA53#LTR/Copia	LTR/Copia	LTR_retrotransposon	188	80	9	19	5,5	5163	86	11
ATCOPIA54#LTR/Copia	LTR/Copia	LTR_retrotransposon	254	89	7	5	5,5	4693	91	0
ATCOPIA55#LTR/Copia	LTR/Copia	LTR_retrotransposon	288	86	6	13	5,5	5278	91	13
ATCOPIA56#LTR/Copia	LTR/Copia	LTR_retrotransposon	72	89	11	13	5,5	5476	83	17
ATCOPIA57#LTR/Copia	LTR/Copia	LTR_retrotransposon	994	88	6	14	5,5	2062	90	27
ATCOPIA58#LTR/Copia	LTR/Copia	LTR_retrotransposon	535	80	16	10	5,5	5903	88	6
ATCOPIA59#LTR/Copia	LTR/Copia	LTR_retrotransposon	134	95	17	18	5,5	4727	98	5
ATCOPIA5#LTR/Copia	LTR/Copia	LTR_retrotransposon	822	95	18	11	5,5	4686	96	18
ATCOPIA60#LTR/Copia	LTR/Copia	LTR_retrotransposon	157	80	8	8	5,5	3291	98	21
ATCOPIA61#LTR/Copia	LTR/Copia	LTR_retrotransposon	647	85	10	5	5,5	5019	98	19
ATCOPIA62#LTR/Copia	LTR/Copia	LTR_retrotransposon	535	85	14	14	5,5	4961	95	20
ATCOPIA63#LTR/Copia	LTR/Copia	LTR_retrotransposon	357	86	18	8	5,5	4819	85	30
ATCOPIA64#LTR/Copia	LTR/Copia	LTR_retrotransposon	824	83	16	9	5,5	4695	93	2
ATCOPIA66#LTR/Copia	LTR/Copia	LTR_retrotransposon	496	87	1	10	5,5	5249	85	9
ATCOPIA67#LTR/Copia	LTR/Copia	LTR_retrotransposon	868	82	11	19	5,5	3972	89	13
ATCOPIA68#LTR/Copia	LTR/Copia	LTR_retrotransposon	574	85	1	17	5,5	4981	94	8
ATCOPIA69A#LTR/Copia	LTR/Copia	LTR_retrotransposon	357	94	9	20	5,5	5156	86	14
ATCOPIA69#LTR/Copia	LTR/Copia	LTR_retrotransposon	640	90	8	13	5,5	5160	81	29
ATCOPIA6#LTR/Copia	LTR/Copia	LTR_retrotransposon	486	80	11	13	5,5	4718	94	6
ATCOPIA70#LTR/Copia	LTR/Copia	LTR_retrotransposon	766	95	4	14	5,5	5041	97	12
ATCOPIA71#LTR/Copia	LTR/Copia	LTR_retrotransposon	748	87	4	20	5,5	5528	94	7
ATCOPIA72#LTR/Copia	LTR/Copia	LTR_retrotransposon	466	94	4	11	5,5	4831	97	1
ATCOPIA73#LTR/Copia	LTR/Copia	LTR_retrotransposon	544	94	17	9	5,5	4870	84	15
ATCOPIA74#LTR/Copia	LTR/Copia	LTR_retrotransposon	174	85	20	15	5,5	3861	86	3
ATCOPIA75#LTR/Copia	LTR/Copia	LTR_retrotransposon	726	85	10	15	5,5	4867	93	4
ATCOPIA76#LTR/Copia	LTR/Copia	LTR_retrotransposon	860	95	8	11	5,5	5720	96	26
ATCOPIA77#LTR/Copia	LTR/Copia	LTR_retrotransposon	820	84	14	20	5,5	4900	87	20
ATCOPIA78#LTR/Copia	LTR/Copia	LTR_retrotransposon	375	89	10	9	5,5	4957	92	6
ATCOPIA79#LTR/Copia	LTR/Copia	LTR_retrotransposon	436	80	2	20	5,5	5342	84	26
ATCOPIA7#LTR/Copia	LTR/Copia	LTR_retrotransposon	600	89	17	18	5,5	5083	83	7
ATCOPIA80#LTR/Copia	LTR/Copia	LTR_retrotransposon	510	80	7	18	5,5	4280	93	3
ATCOPIA81#LTR/Copia	LTR/Copia	LTR_retrotransposon	10	87	13	12	5,5	4966	91	1
ATCOPIA82#LTR/Copia	LTR/Copia	LTR_retrotransposon	822	83	11	15	5,5	5295	96	14
ATCOPIA83#LTR/Copia	LTR/Copia	LTR_retrotransposon	589	88	19	13	5,5	4923	93	5
ATCOPIA84#LTR/Copia	LTR/Copia	LTR_retrotransposon	267	83	14	6	5,5	4882	90	7
ATCOPIA85#LTR/Copia	LTR/Copia	LTR_retrotransposon	947	93	11	12	5,5	3878	98	18
ATCOPIA86#LTR/Copia	LTR/Copia	LTR_retrotransposon	739	82	11	14	5,5	5225	89	25
ATCOPIA87#LTR/Copia	LTR/Copia	LTR_retrotransposon	407	91	15	14	5,5	5221	95	29
ATCOPIA88#LTR/Copia	LTR/Copia	LTR_retrotransposon	361	82	9	10	5,5	5363	97	15
ATCOPIA89#LTR/Copia	LTR/Copia	LTR_retrotransposon	247	80	6	5	5,5	5004	90	15
ATCOPIA8A#LTR/Copia	LTR/Copia	LTR_retrotransposon	491	87	12	6	5,5	5265	86	19
ATCOPIA8B#LTR/Copia	LTR/Copia	LTR_retrotransposon	908	94	4	12	5,5	5085	80	24
ATCOPIA90#LTR/Copia	LTR/Copia	LTR_retrotransposon	186	80	7	16	5,5	5147	85	15
ATCOPIA91#LTR/Copia	LTR/Copia	LTR_retrotransposon	654	82	5	12	5,5	5270	85	27
ATCOPIA92#LTR/Copia	LTR/Copia	LTR_retrotransposon	780	90	3	17	5,5	4803	86	12
ATCOPIA93#LTR/Copia	LTR/Copia	LTR_retrotransposon	173	90	8	20	5,5	5348	97	28
ATCOPIA94#LTR/Copia	LTR/Copia	LTR_retrotransposon	783	89	3	14	5,5	4938	88	11
ATCOPIA95#LTR/Copia	LTR/Copia	LTR_retrotransposon	93	81	11	5	5,5	6821	93	1
ATCOPIA96#LTR/Copia	LTR/Copia	LTR_retrotransposon	869	85	3	13	5,5	4896	81	1
ATCOPIA97#LTR/Copia	LTR/Copia	LTR_retrotransposon	880	95	20	14	5,5	3742	81	25
ATCOPIA9#LTR/Copia	LTR/Copia	LTR_retrotransposon	914	83	16	7	5,5	5066	96	9
Copia-1_AT#LTR/Copia	LTR/Copia	LTR_retrotransposon	87	85	13	13	5,5	4981	80	30
Copia-2_AT#LTR/Copia	LTR/Copia	LTR_retrotransposon	181	94	16	11	5,5	4745	90	21
Copia-3_AT#LTR/Copia	LTR/Copia	LTR_retrotransposon	526	83	15	7	5,5	5154	96	8
ATCOPIA31A_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	322	84	3	17	5,5	288	97	1
ATCOPIA32B_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	546	82	19	13	5,5	766	87	10
ATCOPIA38ALTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	553	82	20	11	5,5	162	88	8
ATCOPIA40_I#LTR/Copia	LTR/Copia	LTR_retrotransposon	380	93	19	13	5,5	4131	98	24
ATCOPIA65ALTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	37	86	2	20	5,5	305	98	28
ATCOPIA65_I#LTR/Copia	LTR/Copia	LTR_retrotransposon	263	90	9	8	5,5	4165	92	20
ENDOVIR1_I#LTR/Copia	LTR/Copia	LTR_retrotransposon	415	83	10	17	5,5	7985	98	5
TA1-2_I#LTR/Copia	LTR/Copia	LTR_retrotransposon	159	81	3	20	5,5	4192	97	16
Os0045_INT#LTR/Copia	LTR/Copia	LTR_retrotransposon	310	89	15	9	5,5	1912	93	30
Os0078_INT#LTR/Copia	LTR/Copia	LTR_retrotransposon	13	95	6	10	5,5	1843	96	8
Os0082_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	502	86	11	16	5,5	423	83	8
Os0083_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	715	87	18	11	5,5	965	85	11
Os0201_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	911	84	16	9	5,5	323	98	25
Os0259_INT#LTR/Copia	LTR/Copia	LTR_retrotransposon	56	87	16	12	5,5	4938	88	12
Os0292_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	580	92	9	5	5,5	216	88	5
Os0323_INT#LTR/Copia	LTR/Copia	LTR_retrotransposon	674	89	7	9	5,5	2444	95	30
Os0338_INT#LTR/Copia	LTR/Copia	LTR_retrotransposon	477	82	5	10	5,5	5164	86	2
Os0352_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	419	83	1	19	5,5	122	87	5
Os0708_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	398	87	3	15	5,5	135	97	5
Os1077_LTR#LTR/Copia	LTR/Copia	LTR_retrotransposon	400	81	6	14	5,5	1034	90	18
